id;username;rol;personaId;salt;passwordHash
U1;admin;PROFESOR;;a1b2c3d4e5f6;5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
U2;alumno;ALUMNO;A101;f6e5d4c3b2a1;5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
U3;ricardo.mora;ALUMNO;A116;g7h8i9j0k1l2;6f995898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
U4;sofia.herrera;PROFESOR;A117;m3n4o5p6q7r8;7eaa5698da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
U5;tomas.rojas;ALUMNO;A118;s9t0u1v2w3x4;8ebb6798da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
U6;valentina.pizarro;ALUMNO;A119;y5z6a7b8c9d0;9fcc7898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
U7;carlos.fuentes;PROFESOR;A120;e1f2g3h4i5j6;0add8998da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
U8;daniela.sepulveda;ALUMNO;A121;k7l8m9n0o1p2;1bee9098da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
U9;luis.gonzalez;ALUMNO;A122;q3r4s5t6u7v8;2cff9198da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
U10;maria.soto;PROFESOR;A123;w9x0y1z2a3b4;3d009298da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
U11;pablo.mendoza;ALUMNO;A124;c5d6e7f8g9h0;4e119398da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
U12;camila.vega;ALUMNO;A125;i1j2k3l4m5n6;5f229498da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
U13;andres.castillo;ALUMNO;A126;o7p8q9r0s1t2;6f339598da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
U14;claudia.rios;PROFESOR;A127;u3v4w5x6y7z8;7f449698da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
U15;diego.morales;ALUMNO;A128;a9b0c1d2e3f4;8f559798da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
U16;florencia.jara;ALUMNO;A129;g5h6i7j8k9l0;9f669898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
